"PERMNO" "DATE" "TICKER" "PRC" "RET" "RETX" "vwretd" "vwretx" "ewretd" "ewretx" "sprtrn"
"216" 11850 20041109 "XOM" 49.31 -0.01176 -0.017142 0.000579 0.000272 0.004681 0.004548 -0.000695
"217" 11850 20041110 "XOM" 49.67 0.007301 0.007301 0.000523 0.000318 0.005021 0.004685 -0.001005
"218" 11850 20041111 "XOM" 49.66 -0.000201 -0.000201 0.008922 0.008922 0.008567 0.008567 0.009089
"219" 11850 20041112 "XOM" 50.42 0.015304 0.015304 0.008834 0.008718 0.007784 0.007714 0.00911
"220" 11850 20041115 "XOM" 49.58 -0.01666 -0.01666 0.000479 -0.001662 0.003901 0.003862 -0.000304
"221" 11850 20041116 "XOM" 49.41 -0.003429 -0.003429 -0.005983 -0.006052 -0.003362 -0.003382 -0.007079
"222" 11850 20041117 "XOM" 50 0.011941 0.011941 0.006101 0.005998 0.007895 0.007807 0.005538
"223" 11850 20041118 "XOM" 50.05 0.001 0.001 0.000177 0.00016 0.000565 0.000523 0.001362
"224" 11850 20041119 "XOM" 50.38 0.006593 0.006593 -0.009894 -0.009941 -0.005725 -0.005772 -0.011161
"225" 11850 20041122 "XOM" 50.91 0.01052 0.01052 0.006183 0.006156 0.006315 0.006267 0.005896
"226" 11850 20041123 "XOM" 51.2 0.005696 0.005696 0.000873 0.000828 0.003942 0.00389 -0.000255
"227" 11850 20041124 "XOM" 51.49 0.005664 0.005664 0.005135 0.005094 0.007954 0.007928 0.004095
"228" 11850 20041126 "XOM" 51.65 0.003107 0.003107 0.001803 0.001698 0.004957 0.004871 0.000753
"229" 11850 20041129 "XOM" 51.37 -0.005421 -0.005421 -0.002263 -0.002422 0.003072 0.002947 -0.00345
"230" 11850 20041130 "XOM" 51.25 -0.002336 -0.002336 -0.00329 -0.003305 -0.000663 -0.000677 -0.00403
"231" 11850 20041201 "XOM" 51.15 -0.001951 -0.001951 0.014071 0.01383 0.00971 0.009625 0.014951
"232" 11850 20041202 "XOM" 50.17 -0.019159 -0.019159 -0.001615 -0.001632 -0.000687 -0.000858 -0.000873
"233" 11850 20041203 "XOM" 50.27 0.001993 0.001993 0.001252 0.001245 0.003181 0.003157 0.000706
